OA,Pop,UK,Mean_bornUK
E00025775,250,177,0.708
E00025776,330,277,0.8393939393939394
E00025777,381,294,0.7716535433070866
E00025778,358,260,0.7262569832402235
E00025779,276,227,0.822463768115942
E00025780,144,123,0.8541666666666666
E00025781,265,211,0.7962264150943397
E00025782,260,213,0.8192307692307692
E00025786,312,247,0.7916666666666666
E00025787,311,250,0.8038585209003215
E00025788,429,345,0.8041958041958042
E00025790,317,280,0.8832807570977917
E00025791,308,242,0.7857142857142857
E00025793,323,255,0.7894736842105263
E00025794,327,282,0.8623853211009175
E00025795,333,292,0.8768768768768769
E00025796,354,284,0.8022598870056498
E00025797,315,267,0.8476190476190476
E00025798,339,310,0.9144542772861357
E00025799,428,341,0.7967289719626168
E00025800,374,300,0.8021390374331551
E00025801,375,302,0.8053333333333333
E00025802,263,253,0.9619771863117871
E00025803,256,234,0.9140625
E00025804,186,172,0.9247311827956989
E00025805,181,160,0.8839779005524862
E00025806,252,227,0.9007936507936508
E00025807,318,306,0.9622641509433962
E00025808,261,249,0.9540229885057471
E00025809,372,335,0.9005376344086021
E00025810,238,220,0.9243697478991597
E00025811,322,280,0.8695652173913043
E00025812,249,242,0.9718875502008032
E00025813,355,297,0.8366197183098592
E00025814,326,290,0.8895705521472392
E00025815,236,226,0.9576271186440678
E00025816,310,266,0.8580645161290322
E00025817,316,297,0.939873417721519
E00025818,306,288,0.9411764705882353
E00025819,380,346,0.9105263157894737
E00025820,325,292,0.8984615384615384
E00025821,308,223,0.724025974025974
E00025822,341,262,0.7683284457478006
E00025823,347,271,0.7809798270893372
E00025825,305,282,0.9245901639344263
E00025826,286,259,0.9055944055944056
E00025827,267,256,0.9588014981273408
E00025828,296,276,0.9324324324324325
E00025829,191,173,0.9057591623036649
E00025830,311,277,0.8906752411575563
E00025832,488,319,0.6536885245901639
E00025833,316,232,0.7341772151898734
E00025834,386,286,0.7409326424870466
E00025835,447,346,0.7740492170022372
E00025836,448,318,0.7098214285714286
E00025837,509,303,0.5952848722986247
E00025838,352,270,0.7670454545454546
E00025840,233,205,0.8798283261802575
E00025841,332,252,0.7590361445783133
E00025842,318,171,0.5377358490566038
E00025843,447,313,0.7002237136465325
E00025844,345,247,0.7159420289855073
E00025845,355,302,0.8507042253521127
E00025846,303,202,0.6666666666666666
E00025850,273,220,0.8058608058608059
E00025851,322,243,0.7546583850931677
E00025852,292,230,0.7876712328767124
E00025853,329,302,0.9179331306990881
E00025855,263,220,0.8365019011406845
E00025856,291,246,0.845360824742268
E00025857,612,408,0.6666666666666666
E00025858,339,268,0.7905604719764012
E00025859,381,298,0.7821522309711286
E00025862,280,247,0.8821428571428571
E00025863,202,172,0.8514851485148515
E00025864,297,276,0.9292929292929293
E00025865,309,264,0.8543689320388349
E00025866,260,242,0.9307692307692308
E00025867,256,238,0.9296875
E00025868,266,239,0.8984962406015038
E00025869,349,324,0.9283667621776505
E00025870,295,275,0.9322033898305084
E00025871,254,247,0.9724409448818898
E00025872,165,137,0.8303030303030303
E00025873,321,269,0.838006230529595
E00025875,290,239,0.8241379310344827
E00025876,266,236,0.8872180451127819
E00025877,303,285,0.9405940594059405
E00025878,218,198,0.908256880733945
E00025879,306,271,0.8856209150326797
E00025880,288,267,0.9270833333333334
E00025882,281,264,0.9395017793594306
E00025883,162,149,0.9197530864197531
E00025884,325,268,0.8246153846153846
E00025885,288,254,0.8819444444444444
E00025886,304,277,0.9111842105263158
E00025887,283,239,0.8445229681978799
E00025888,314,275,0.8757961783439491
E00025889,318,275,0.8647798742138365
E00025890,308,271,0.8798701298701299
E00025891,329,296,0.8996960486322189
E00025892,246,221,0.8983739837398373
E00025893,224,193,0.8616071428571429
E00025894,319,264,0.8275862068965517
E00025895,345,267,0.7739130434782608
E00025896,454,363,0.7995594713656388
E00025897,296,263,0.8885135135135135
E00025898,277,240,0.8664259927797834
E00025899,291,255,0.8762886597938144
E00025900,307,280,0.9120521172638436
E00025901,314,280,0.89171974522293
E00025902,324,232,0.7160493827160493
E00025903,251,214,0.852589641434263
E00025904,377,299,0.7931034482758621
E00025905,360,297,0.825
E00025906,306,261,0.8529411764705882
E00025907,366,300,0.819672131147541
E00025908,409,315,0.7701711491442543
E00025909,371,290,0.7816711590296496
E00025910,269,190,0.7063197026022305
E00025911,348,253,0.7270114942528736
E00025912,309,250,0.8090614886731392
E00025913,376,297,0.7898936170212766
E00025914,401,289,0.7206982543640897
E00025915,324,268,0.8271604938271605
E00025916,325,283,0.8707692307692307
E00025917,337,271,0.8041543026706232
E00025918,279,226,0.8100358422939068
E00025919,332,280,0.8433734939759037
E00025920,303,263,0.8679867986798679
E00025921,306,260,0.8496732026143791
E00025922,316,272,0.8607594936708861
E00025923,386,314,0.8134715025906736
E00025924,362,324,0.8950276243093923
E00025925,493,400,0.8113590263691683
E00025926,339,254,0.7492625368731564
E00025927,346,294,0.8497109826589595
E00025928,362,309,0.8535911602209945
E00025929,424,306,0.7216981132075472
E00025930,344,247,0.7180232558139535
E00025931,435,270,0.6206896551724138
E00025932,402,294,0.7313432835820896
E00025933,302,289,0.956953642384106
E00025934,377,291,0.7718832891246684
E00025935,426,269,0.6314553990610329
E00025936,310,254,0.8193548387096774
E00025937,436,283,0.6490825688073395
E00025938,320,271,0.846875
E00025939,310,256,0.8258064516129032
E00025940,291,224,0.7697594501718213
E00025941,330,265,0.803030303030303
E00025942,338,274,0.8106508875739645
E00025943,333,266,0.7987987987987988
E00025944,274,224,0.8175182481751825
E00025945,298,254,0.8523489932885906
E00025948,266,210,0.7894736842105263
E00025949,244,197,0.8073770491803278
E00025950,164,129,0.7865853658536586
E00025951,177,158,0.8926553672316384
E00025952,170,137,0.8058823529411765
E00025953,215,159,0.7395348837209302
E00025954,242,192,0.7933884297520661
E00025955,275,238,0.8654545454545455
E00025957,179,146,0.8156424581005587
E00025958,183,91,0.4972677595628415
E00025959,217,193,0.8894009216589862
E00025961,169,131,0.7751479289940828
E00025962,253,200,0.7905138339920948
E00025963,246,172,0.6991869918699187
E00025964,255,205,0.803921568627451
E00025968,265,210,0.7924528301886793
E00025969,253,209,0.8260869565217391
E00025970,241,194,0.8049792531120332
E00025976,185,169,0.9135135135135135
E00025987,321,167,0.5202492211838006
E00025988,255,80,0.3137254901960784
E00025989,145,126,0.8689655172413793
E00025993,189,148,0.783068783068783
E00025994,111,74,0.6666666666666666
E00025995,283,225,0.7950530035335689
E00025996,322,280,0.8695652173913043
E00025997,285,254,0.8912280701754386
E00025998,380,341,0.8973684210526316
E00026000,329,270,0.8206686930091185
E00026001,381,366,0.9606299212598425
E00026002,267,242,0.9063670411985019
E00026003,300,254,0.8466666666666667
E00026004,272,241,0.8860294117647058
E00026005,269,250,0.929368029739777
E00026006,286,257,0.8986013986013986
E00026007,436,359,0.823394495412844
E00026008,299,265,0.8862876254180602
E00026009,300,254,0.8466666666666667
E00026010,220,188,0.8545454545454545
E00026011,272,239,0.8786764705882353
E00026012,241,218,0.9045643153526971
E00026014,403,328,0.8138957816377171
E00026015,245,229,0.9346938775510204
E00026017,338,307,0.908284023668639
