OA,Pop,Males,Females,Mean_male,Variance_male,SD_male
E00026522,498,242,256,0.4859437751004016,0.2503050431100674,0.5003049501154945
E00026523,528,265,263,0.5018939393939394,0.2504707894888171,0.5004705680545232
E00026524,355,158,197,0.4450704225352113,0.24768043287976238,0.49767502738208835
E00026525,412,202,210,0.49029126213592233,0.2505137835730987,0.5005135198704413
E00026526,299,165,134,0.5518394648829431,0.24814257816884114,0.4981391152768884
E00026527,307,136,171,0.44299674267100975,0.24755700325732877,0.4975510056841698
E00026528,305,131,174,0.42950819672131146,0.24583692838653967,0.4958194513999422
E00026529,144,78,66,0.5416666666666666,0.25000000000000044,0.5000000000000004
E00026530,400,211,189,0.5275,0.24986842105263035,0.4998684037350534
E00026531,403,235,168,0.5831265508684863,0.24369467797489133,0.49365441148124195
E00026532,304,123,181,0.40460526315789475,0.2416948931735285,0.49162474833304365
E00026533,560,267,293,0.4767857142857143,0.24990736008177805,0.4999073514980331
E00026534,370,218,152,0.5891891891891892,0.24270123782318911,0.49264717376961487
E00026535,511,251,260,0.4911937377690802,0.25041249376462676,0.5004123237537489
E00026536,452,241,211,0.5331858407079646,0.249450581794637,0.4994502796021212
E00026537,352,179,173,0.5085227272727273,0.2506394068894084,0.5006389985702356
E00026539,405,200,205,0.49382716049382713,0.2505806136169178,0.5005802768956422
E00026540,380,155,225,0.40789473684210525,0.24215386751840215,0.4920913203038661
E00026541,436,226,210,0.518348623853211,0.250237266687757,0.5002372104189741
E00026542,367,181,186,0.49318801089918257,0.2506365301290916,0.5006361254734736
E00026543,378,167,211,0.4417989417989418,0.24726678174954214,0.49725927014942833
E00026544,469,247,222,0.5266524520255863,0.24982231698649285,0.49982228540401524
E00026545,400,207,193,0.5175,0.250319548872183,0.5003194468259085
E00026546,397,206,191,0.5188916876574308,0.25027351601659054,0.5002734412464752
E00026547,480,231,249,0.48125,0.25016962421712036,0.5001695954545021
E00026548,425,214,211,0.5035294117647059,0.25057713651498476,0.5005768038123468
E00026549,550,276,274,0.5018181818181818,0.25045206159960376,0.5004518574244717
E00026550,490,281,209,0.573469387755102,0.2451024581611809,0.49507823438440607
E00026551,565,281,284,0.49734513274336284,0.2504362015941782,0.5004360114881604
E00026552,337,150,187,0.44510385756676557,0.24772149215769218,0.49771627676588215
E00026553,455,244,211,0.5362637362637362,0.2492327056203725,0.4992321159744959
E00026554,408,201,207,0.49264705882352944,0.2505600520306412,0.5005597387232029
E00026555,417,235,182,0.5635491606714629,0.24655275779376645,0.49654079167150655
E00026556,350,176,174,0.5028571428571429,0.2507081457224718,0.5007076449610809
E00026557,336,171,165,0.5089285714285714,0.25066631130063927,0.5006658679205517
E00026558,375,156,219,0.416,0.24359358288770255,0.49355200626448936
E00026559,508,256,252,0.5039370078740157,0.2504775660438875,0.5004773381921378
E00026561,392,171,221,0.4362244897959184,0.24656166814551808,0.49654976401718093
E00026563,384,176,208,0.4583333333333333,0.24891209747606557,0.49891091136200416
E00026564,364,167,197,0.45879120879120877,0.2489858626222246,0.49898483205627064
E00026565,314,177,137,0.5636942675159236,0.2467288007977041,0.49671802946712545
E00026566,522,287,235,0.5498084291187739,0.24799420507276757,0.4979901656386073
E00026567,467,249,218,0.5331905781584583,0.24943250222863614,0.49943217980886667
E00026568,517,276,241,0.5338491295938105,0.24933651207773183,0.4993360712763818
E00026569,493,244,249,0.4949290060851927,0.2504823628357977,0.5004821303860886
E00026570,458,193,265,0.42139737991266374,0.24435515465395521,0.4943229254788364
E00026571,296,152,144,0.5135135135135135,0.25066422354557993,0.5006637829377915
E00026572,430,179,251,0.41627906976744183,0.24355721797582508,0.4935151648894136
E00026573,327,145,182,0.4434250764525994,0.24755633102568436,0.49755033014327743
E00026574,329,154,175,0.46808510638297873,0.2497405293201868,0.49974046196019273
E00026575,314,157,157,0.5,0.2507987220447284,0.5007980851048938
E00026576,305,133,172,0.4360655737704918,0.24672131147541054,0.4967104906033398
E00026577,314,153,161,0.4872611464968153,0.2506359251948479,0.5006355213075155
E00026578,364,172,192,0.4725274725274725,0.24993188629552193,0.4999318816554131
E00026579,337,158,179,0.4688427299703264,0.24977038293061884,0.49977033018239375
E00026580,333,162,171,0.4864864864864865,0.2505698469553894,0.5005695225993982
E00026581,308,146,162,0.474025974025974,0.25013748466517327,0.5001374657683358
E00026582,283,131,152,0.4628975265017668,0.2495050497456318,0.4995048045270754
E00026583,136,71,65,0.5220588235294118,0.2513616557734211,0.501359806699162
E00026584,363,151,212,0.41597796143250687,0.24361140282787672,0.4935700586825306
E00026585,345,166,179,0.4811594202898551,0.25037074486012695,0.5003706075102003
E00026586,473,225,248,0.47568710359408034,0.24993729171892437,0.4999372877861026
E00026587,361,157,204,0.43490304709141275,0.2464450600184649,0.49643233176180707
E00026588,345,162,183,0.46956521739130436,0.24979777553084007,0.49979773461955596
E00026589,313,149,164,0.476038338658147,0.25022528057671745,0.5002252298482329
E00026590,340,170,170,0.5,0.25073746312684364,0.5007369200756457
E00026591,359,175,184,0.48746518105849584,0.25054076344906095,0.5005404713397918
E00026592,359,168,191,0.467966573816156,0.24966931731532374,0.49966920789190494
E00026593,355,187,168,0.5267605633802817,0.24998806397708093,0.49998806383460886
E00026594,299,133,166,0.44481605351170567,0.24778343920450802,0.4977785041607442
E00026595,331,156,175,0.47129909365558914,0.24993133754463084,0.4999313328294505
E00026596,303,145,158,0.47854785478547857,0.25036609621226974,0.5003659622838765
E00026597,286,143,143,0.5,0.25087719298245614,0.5008764248619175
E00026598,256,118,138,0.4609375,0.2494485294117647,0.4994482249560656
E00026599,344,157,187,0.4563953488372093,0.24882195403078186,0.4988205629590483
E00026600,295,146,149,0.49491525423728816,0.2508243975556322,0.5008237190425711
E00026601,257,115,142,0.4474708171206226,0.2482064688715948,0.49820324052699094
E00026602,285,136,149,0.47719298245614034,0.2503582900914253,0.500358161811542
E00026603,302,139,163,0.4602649006622517,0.2492464412224154,0.4992458725141505
E00026604,293,135,158,0.46075085324232085,0.24931039319276385,0.49930991697818683
E00026605,267,132,135,0.4943820224719101,0.25090816929965326,0.500907346022848
E00026606,220,131,89,0.5954545454545455,0.2419883769198846,0.4919231412729885
E00026607,500,250,250,0.5,0.250501002004008,0.5005007512521914
E00026608,295,136,159,0.4610169491525424,0.24932549290902858,0.4993250373344287
E00026609,285,130,155,0.45614035087719296,0.24894983938720086,0.4989487342274764
E00026610,254,127,127,0.5,0.2509881422924901,0.5009871677922401
E00026611,368,169,199,0.4592391304347826,0.24901522331477202,0.49901425161489327
E00026612,444,227,217,0.5112612612612613,0.2504372318142079,0.5004370408095387
E00026613,268,122,146,0.4552238805970149,0.24892391972720795,0.49892275927963836
E00026614,286,133,153,0.46503496503496505,0.24965034965035032,0.4996502273094152
E00026615,316,158,158,0.5,0.2507936507936508,0.5007930219099012
E00026616,332,149,183,0.44879518072289154,0.248125432242564,0.4981219050017415
E00026617,317,136,181,0.42902208201892744,0.24573733178932305,0.49571900487002013
E00026618,279,154,125,0.5519713261648745,0.24818854593744485,0.49818525262942587
E00026619,252,140,112,0.5555555555555556,0.24789729969012755,0.49789285964967156
E00026620,331,150,181,0.45317220543806647,0.2485580884372405,0.4985560033108021
E00026621,291,139,152,0.47766323024054985,0.2503614172295291,0.5003612867014484
E00026622,221,122,99,0.5520361990950227,0.2484162895927593,0.4984137734781808
E00026623,322,152,170,0.4720496894409938,0.24999516263230054,0.4999951626089002
E00026624,377,181,196,0.48010610079575594,0.25026807381906496,0.5002680019939961
E00026625,281,141,140,0.501779359430605,0.2508896797153031,0.5008888895905989
E00026626,260,121,139,0.4653846153846154,0.2497623997624017,0.49976234328168595
E00026627,325,145,180,0.4461538461538462,0.24786324786324826,0.4978586625371183
E00026628,326,168,158,0.5153374233128835,0.2505332704105715,0.500532986336137
E00026629,323,133,190,0.4117647058823529,0.24296675191815764,0.49291657703728897
E00026630,308,122,186,0.3961038961038961,0.23998477092939674,0.4898824052049601
E00026631,228,133,95,0.5833333333333334,0.2441262848751837,0.49409137300218436
E00026632,206,133,73,0.6456310679611651,0.22990764859104876,0.47948685966463017
E00026633,457,229,228,0.5010940919037199,0.25054704595186184,0.5005467470195585
E00026634,367,179,188,0.4877384196185286,0.25053230297344975,0.5005320199282457
E00026635,301,139,162,0.46179401993355484,0.2493687707641212,0.49936837180995075
E00026636,311,162,149,0.5209003215434084,0.25036821906441187,0.5003680835788908
E00026637,485,250,235,0.5154639175257731,0.25027690210445497,0.5002768254721129
E00026638,282,142,140,0.5035460992907801,0.25087706014487376,0.5008762922567546
E00026639,385,196,189,0.509090909090909,0.2505681818181825,0.5005678593539367
E00026640,274,131,143,0.4781021897810219,0.2504344803614876,0.5004342917521616
E00026641,246,113,133,0.45934959349593496,0.2493612078977922,0.49936079932028327
E00026642,313,154,159,0.49201277955271566,0.25073728188744177,0.5007367391029359
E00026643,289,141,148,0.48788927335640137,0.2507208765859291,0.5007203576707553
E00026644,318,122,196,0.3836477987421384,0.2372081026923006,0.48704014484670627
E00026645,284,150,134,0.528169014084507,0.250087095008211,0.5000870874239917
E00026646,300,151,149,0.5033333333333333,0.25082497212932053,0.5008242926709132
E00026647,251,110,141,0.43824701195219123,0.24717131474103685,0.497163267690843
E00026648,254,133,121,0.5236220472440944,0.25042793563847915,0.5004277526661358
E00026649,266,132,134,0.49624060150375937,0.25092920981699707,0.500928347987012
E00026650,275,130,145,0.4727272727272727,0.2501658925016587,0.5001658649904637
E00026651,238,123,115,0.5168067226890757,0.25077119455377095,0.5007706007282885
E00026652,344,158,186,0.45930232558139533,0.2490677334056555,0.4990668626603609
E00026653,366,179,187,0.4890710382513661,0.2505651620630295,0.5005648430153974
E00026654,267,120,147,0.449438202247191,0.24837374334713214,0.4983710899993419
E00026655,304,135,169,0.4440789473684211,0.2476875977071391,0.49768222562910475
E00026656,549,266,283,0.48451730418943534,0.25021605307593137,0.5002160064171591
E00026657,152,70,82,0.4605263157894737,0.2500871383757402,0.5000871307839667
E00026658,193,107,86,0.5544041450777202,0.2483268566493948,0.4983240478337312
E00026659,255,122,133,0.47843137254901963,0.25051721475991856,0.5005169475251747
E00026660,391,199,192,0.5089514066496164,0.2505606925044243,0.500560378480383
E00026661,315,159,156,0.5047619047619047,0.25077343039126404,0.5007728331202324
E00026662,334,159,175,0.47604790419161674,0.2501753250256245,0.5001752942975337
E00026663,327,155,172,0.4740061162079511,0.25008911652689286,0.5000891085865526
