OA,Pop_marr,Married,Civil,Mean_married
E00026812,245,78,0,0.3183673469387755
E00026813,255,95,0,0.37254901960784315
E00026814,216,64,0,0.2962962962962963
E00026815,249,65,1,0.26506024096385544
E00026816,268,86,1,0.3246268656716418
E00026817,238,78,1,0.3319327731092437
E00026818,240,82,0,0.3416666666666667
E00026819,224,68,0,0.30357142857142855
E00026821,328,175,0,0.5335365853658537
E00026822,344,177,0,0.5145348837209303
E00026823,341,110,0,0.3225806451612903
E00026824,276,132,0,0.4782608695652174
E00026825,216,55,2,0.2638888888888889
E00026826,283,140,2,0.5017667844522968
E00026827,294,143,0,0.48639455782312924
E00026828,303,170,0,0.5610561056105611
E00026829,269,121,0,0.44981412639405205
E00026830,304,164,4,0.5526315789473685
E00026831,268,57,3,0.22388059701492538
E00026832,323,88,6,0.29102167182662536
E00026833,395,86,3,0.22531645569620254
E00026834,288,60,5,0.22569444444444445
E00026835,277,56,0,0.20216606498194944
E00026837,213,65,0,0.3051643192488263
E00026838,228,61,2,0.27631578947368424
E00026840,165,27,0,0.16363636363636364
E00026841,306,81,2,0.27124183006535946
E00026842,329,143,0,0.43465045592705165
E00026843,287,78,4,0.2857142857142857
E00026844,255,89,2,0.3568627450980392
E00026845,378,127,4,0.34656084656084657
E00026846,244,97,2,0.4057377049180328
E00026847,275,122,2,0.4509090909090909
E00026848,298,116,0,0.38926174496644295
E00026849,326,139,2,0.4325153374233129
E00026850,377,126,2,0.3395225464190981
E00026851,335,126,4,0.3880597014925373
E00026852,292,137,0,0.4691780821917808
E00026854,411,129,4,0.3236009732360097
E00026855,259,113,0,0.4362934362934363
E00026856,245,79,0,0.3224489795918367
E00026857,301,149,6,0.5149501661129569
E00026858,315,137,0,0.43492063492063493
E00026859,91,23,0,0.25274725274725274
E00026860,250,136,0,0.544
E00026861,291,88,0,0.3024054982817869
E00026862,342,67,0,0.195906432748538
E00026863,333,44,0,0.13213213213213212
E00026864,311,94,2,0.3086816720257235
E00026865,375,120,2,0.3253333333333333
E00026866,327,66,2,0.20795107033639143
E00026867,314,17,1,0.05732484076433121
E00026868,215,40,0,0.18604651162790697
E00026869,230,31,0,0.13478260869565217
E00026870,363,63,0,0.17355371900826447
E00026871,403,39,2,0.10173697270471464
E00026872,340,92,0,0.27058823529411763
E00026873,357,34,0,0.09523809523809523
E00026874,342,113,0,0.3304093567251462
E00026875,283,47,0,0.16607773851590105
E00026876,360,117,2,0.33055555555555555
E00026877,498,170,0,0.3413654618473896
E00026878,477,59,1,0.12578616352201258
E00026879,378,97,2,0.2619047619047619
E00026880,359,106,0,0.29526462395543174
E00026881,283,63,0,0.2226148409893993
E00026882,257,67,4,0.27626459143968873
E00026883,270,81,0,0.3
E00026884,251,64,0,0.2549800796812749
E00026885,257,109,0,0.42412451361867703
E00026886,239,142,2,0.602510460251046
E00026887,215,68,0,0.31627906976744186
E00026888,270,88,2,0.3333333333333333
E00026889,320,128,0,0.4
E00026890,275,124,0,0.4509090909090909
E00026891,209,62,0,0.2966507177033493
E00026892,268,19,0,0.0708955223880597
E00026893,487,50,0,0.1026694045174538
E00026894,477,12,0,0.025157232704402517
E00026895,243,49,0,0.20164609053497942
E00026896,201,35,0,0.17412935323383086
E00026897,444,8,0,0.018018018018018018
E00026898,376,28,0,0.07446808510638298
E00026899,312,40,0,0.1282051282051282
E00026900,369,17,0,0.04607046070460705
E00026901,387,25,0,0.06459948320413436
E00026902,361,102,0,0.28254847645429365
E00026903,449,38,0,0.08463251670378619
E00026904,261,26,0,0.09961685823754789
E00026905,469,27,0,0.057569296375266525
E00026906,205,66,0,0.32195121951219513
E00026907,216,65,0,0.30092592592592593
E00026908,197,65,0,0.3299492385786802
E00026909,233,53,0,0.22746781115879827
