OA,Pop_econ,unempl,student,inactive,sum_no_income,mean_no_income
E00025804,159,12,2,57,71,0.44654088050314467
E00025805,113,6,2,67,75,0.6637168141592921
E00025806,196,6,8,88,102,0.5204081632653061
E00025807,238,12,8,81,101,0.42436974789915966
E00025808,199,8,5,57,70,0.35175879396984927
E00025809,237,20,13,102,135,0.569620253164557
E00025810,173,17,6,54,77,0.44508670520231214
E00025811,204,9,8,67,84,0.4117647058823529
E00025812,184,8,8,39,55,0.29891304347826086
E00025813,255,19,9,97,125,0.49019607843137253
E00025814,251,17,9,75,101,0.40239043824701193
E00025815,176,13,3,75,91,0.5170454545454546
E00025816,227,13,7,68,88,0.3876651982378855
E00025817,234,8,2,81,91,0.3888888888888889
E00025818,218,21,7,81,109,0.5
E00025819,252,19,9,96,124,0.49206349206349204
E00025820,226,18,2,88,108,0.4778761061946903
E00025821,197,15,5,87,107,0.5431472081218274
E00025822,207,21,6,79,106,0.5120772946859904
E00025823,222,30,9,80,119,0.536036036036036
E00025825,241,9,5,76,90,0.37344398340248963
E00025826,200,11,3,101,115,0.575
E00025827,206,19,5,61,85,0.41262135922330095
E00025828,199,14,4,79,97,0.48743718592964824
E00025829,150,7,6,75,88,0.5866666666666667
E00025830,211,26,10,80,116,0.5497630331753555
E00025832,343,25,19,110,154,0.4489795918367347
E00025833,211,27,9,89,125,0.5924170616113744
E00025834,261,25,10,74,109,0.41762452107279696
E00025835,285,17,17,123,157,0.5508771929824562
E00025836,312,20,26,127,173,0.5544871794871795
E00025837,350,48,18,106,172,0.49142857142857144
E00025838,232,11,4,85,100,0.43103448275862066
E00025840,187,12,3,83,98,0.5240641711229946
E00025841,250,19,10,89,118,0.472
E00025842,247,13,22,94,129,0.5222672064777328
E00025843,298,24,10,126,160,0.5369127516778524
E00025844,265,31,6,129,166,0.6264150943396226
E00025845,243,19,13,120,152,0.6255144032921811
E00025846,204,18,13,80,111,0.5441176470588235
E00025850,187,15,14,86,115,0.6149732620320856
E00025851,224,14,11,79,104,0.4642857142857143
E00025852,205,12,12,84,108,0.526829268292683
E00025853,244,17,10,52,79,0.3237704918032787
E00025855,175,13,5,64,82,0.4685714285714286
E00025856,207,11,12,59,82,0.3961352657004831
E00025857,445,24,19,161,204,0.4584269662921348
E00025858,219,24,12,100,136,0.6210045662100456
E00025859,226,24,17,96,137,0.6061946902654868
E00025862,206,5,4,53,62,0.30097087378640774
E00025863,166,0,4,35,39,0.23493975903614459
E00025864,203,13,11,70,94,0.4630541871921182
E00025865,243,11,1,83,95,0.39094650205761317
E00025866,168,12,4,44,60,0.35714285714285715
E00025867,183,21,7,44,72,0.39344262295081966
E00025868,189,14,6,73,93,0.49206349206349204
E00025869,261,7,13,76,96,0.367816091954023
E00025870,206,23,9,71,103,0.5
E00025871,169,8,2,55,65,0.38461538461538464
E00025872,143,16,1,67,84,0.5874125874125874
E00025873,225,14,5,75,94,0.4177777777777778
E00025875,209,9,6,51,66,0.3157894736842105
E00025876,207,12,6,42,60,0.2898550724637681
E00025877,206,10,2,66,78,0.3786407766990291
E00025878,142,6,1,64,71,0.5
E00025879,223,8,5,76,89,0.3991031390134529
E00025880,209,18,3,71,92,0.44019138755980863
E00025882,204,13,7,75,95,0.46568627450980393
E00025883,133,21,1,41,63,0.47368421052631576
E00025884,242,11,9,61,81,0.3347107438016529
E00025885,200,7,3,60,70,0.35
E00025886,220,19,6,69,94,0.42727272727272725
E00025887,210,7,6,76,89,0.4238095238095238
E00025888,222,18,2,84,104,0.46846846846846846
E00025889,219,14,14,73,101,0.4611872146118721
E00025890,202,15,7,73,95,0.47029702970297027
E00025891,226,8,8,90,106,0.4690265486725664
E00025892,165,18,7,42,67,0.40606060606060607
E00025893,174,12,6,48,66,0.3793103448275862
E00025894,195,19,4,80,103,0.5282051282051282
E00025895,254,15,12,83,110,0.4330708661417323
E00025896,307,20,15,106,141,0.4592833876221498
E00025897,211,20,1,62,83,0.3933649289099526
E00025898,195,24,6,65,95,0.48717948717948717
E00025899,220,11,4,65,80,0.36363636363636365
E00025900,205,18,8,66,92,0.44878048780487806
E00025901,228,17,8,63,88,0.38596491228070173
E00025902,225,10,7,93,110,0.4888888888888889
E00025903,176,14,4,76,94,0.5340909090909091
E00025904,249,22,9,93,124,0.4979919678714859
E00025905,259,16,9,71,96,0.37065637065637064
E00025906,221,20,7,79,106,0.4796380090497738
E00025907,244,19,12,90,121,0.4959016393442623
E00025908,307,16,7,76,99,0.32247557003257327
E00025909,266,18,10,106,134,0.5037593984962406
E00025910,175,10,3,81,94,0.5371428571428571
E00025911,239,16,16,88,120,0.502092050209205
E00025912,219,17,14,77,108,0.4931506849315068
E00025913,258,21,10,97,128,0.49612403100775193
E00025914,276,23,16,117,156,0.5652173913043478
E00025915,228,15,14,84,113,0.4956140350877193
E00025916,223,17,13,85,115,0.515695067264574
E00025917,242,17,9,83,109,0.45041322314049587
E00025918,219,17,10,81,108,0.4931506849315068
E00025919,234,18,6,95,119,0.5085470085470085
E00025920,219,12,10,71,93,0.4246575342465753
E00025921,224,17,11,79,107,0.47767857142857145
E00025922,221,17,10,90,117,0.5294117647058824
E00025923,295,22,7,80,109,0.3694915254237288
E00025924,261,19,10,106,135,0.5172413793103449
E00025925,374,10,14,87,111,0.2967914438502674
E00025926,275,16,12,55,83,0.3018181818181818
E00025927,251,15,17,69,101,0.40239043824701193
E00025928,265,7,7,74,88,0.3320754716981132
E00025929,302,18,15,97,130,0.4304635761589404
E00025930,236,9,9,88,106,0.4491525423728814
E00025931,314,9,24,104,137,0.43630573248407645
E00025932,258,17,16,68,101,0.39147286821705424
E00025933,216,6,6,71,83,0.38425925925925924
E00025934,246,30,6,86,122,0.4959349593495935
E00025935,281,8,6,102,116,0.4128113879003559
E00025936,234,8,9,66,83,0.3547008547008547
E00025937,298,13,19,114,146,0.4899328859060403
E00025938,228,19,7,88,114,0.5
E00025939,222,23,15,65,103,0.46396396396396394
E00025940,204,15,4,88,107,0.5245098039215687
E00025941,224,18,12,77,107,0.47767857142857145
E00025942,225,13,11,105,129,0.5733333333333334
E00025943,227,15,14,99,128,0.5638766519823789
E00025944,159,10,8,68,86,0.5408805031446541
E00025945,209,18,5,86,109,0.5215311004784688
E00025948,198,25,8,95,128,0.6464646464646465
E00025949,174,8,10,73,91,0.5229885057471264
E00025950,130,15,3,64,82,0.6307692307692307
