OA,Pop,mean_age_OA,Mean,sd_age_OA,SD
E00026681,212,52.81603773584906,52.81603773584906,25.059911668871663,25.059911668871663
E00026682,277,34.234657039711195,34.234657039711195,17.547218625590517,17.547218625590517
E00026683,299,43.779264214046826,43.779264214046826,22.67611399172106,22.67611399172106
E00026684,360,39.86944444444445,39.86944444444445,21.658714168019017,21.658714168019017
E00026685,284,48.45774647887324,48.45774647887324,25.70452469812857,25.70452469812857
E00026686,190,44.40526315789474,44.40526315789474,20.40072033390051,20.40072033390051
E00026687,220,49.63636363636363,49.63636363636363,19.771400069015918,19.771400069015918
E00026688,298,40.38590604026846,40.38590604026846,22.750929296546595,22.750929296546595
E00026689,425,34.54352941176471,34.54352941176471,19.416939982103006,19.416939982103006
E00026690,254,41.70866141732284,41.70866141732284,22.009559632059016,22.009559632059016
E00026691,288,40.97569444444444,40.97569444444444,23.612642767610126,23.612642767610126
E00026692,319,41.692789968652036,41.692789968652036,22.628104458261344,22.628104458261344
E00026693,263,36.97718631178707,36.97718631178707,23.304314634903122,23.304314634903122
E00026694,234,43.67948717948718,43.67948717948718,26.145922760329285,26.145922760329285
E00026695,270,40.72592592592593,40.72592592592593,22.571630590273845,22.571630590273845
E00026696,322,37.13354037267081,37.13354037267081,24.79142009180086,24.79142009180086
E00026697,316,34.34177215189873,34.34177215189873,22.3427193217562,22.3427193217562
E00026698,315,36.2031746031746,36.2031746031746,23.01238913246659,23.01238913246659
E00026699,346,30.63872832369942,30.63872832369942,22.030140160235057,22.030140160235057
E00026700,284,33.433098591549296,33.433098591549296,17.271448372406542,17.271448372406542
E00026701,388,32.56958762886598,32.56958762886598,14.51089950625644,14.51089950625644
E00026702,413,26.85230024213075,26.85230024213075,16.200053211794565,16.200053211794565
E00026703,416,30.353365384615383,30.353365384615383,17.501742101822412,17.501742101822412
E00026704,366,30.683060109289617,30.683060109289617,20.417105034929314,20.417105034929314
E00026705,361,33.33240997229917,33.33240997229917,20.73752039737287,20.73752039737287
E00026706,304,33.07565789473684,33.07565789473684,22.07273155079816,22.07273155079816
E00026707,326,35.62883435582822,35.62883435582822,21.642983510885863,21.642983510885863
E00026708,381,35.16272965879265,35.16272965879265,23.769280858481075,23.769280858481075
E00026709,330,27.563636363636363,27.563636363636363,12.678052696345684,12.678052696345684
E00026710,299,29.909698996655518,29.909698996655518,12.934860274149752,12.934860274149752
E00026711,214,35.85981308411215,35.85981308411215,18.856487207962495,18.856487207962495
E00026712,255,31.67450980392157,31.67450980392157,15.85390787584963,15.85390787584963
E00026713,373,31.28686327077748,31.28686327077748,17.648776620767496,17.648776620767496
E00026714,238,27.65546218487395,27.65546218487395,9.412207689110577,9.412207689110577
E00026715,337,34.3353115727003,34.3353115727003,19.2246361808634,19.2246361808634
E00026716,241,29.53112033195021,29.53112033195021,12.732507051753782,12.732507051753782
E00026717,278,34.381294964028775,34.381294964028775,19.740883079107856,19.740883079107856
E00026718,345,30.565217391304348,30.565217391304348,12.153665181781971,12.153665181781971
E00026719,293,37.924914675767916,37.924914675767916,22.311949937417353,22.311949937417353
E00026720,404,35.79207920792079,35.79207920792079,21.69072795092081,21.69072795092081
E00026721,366,31.494535519125684,31.494535519125684,13.044863479865318,13.044863479865318
E00026722,443,30.73589164785553,30.73589164785553,19.120722650228643,19.120722650228643
E00026723,427,25.543325526932083,25.543325526932083,13.557731581224244,13.557731581224244
E00026724,467,33.33404710920771,33.33404710920771,20.738298249192344,20.738298249192344
E00026725,294,34.12244897959184,34.12244897959184,22.513673648457843,22.513673648457843
E00026726,564,22.650709219858157,22.650709219858157,9.434469670764887,9.434469670764887
E00026727,310,31.193548387096776,31.193548387096776,19.59314217724942,19.59314217724942
E00026728,500,28.528,28.528,18.82556825278005,18.82556825278005
E00026730,429,31.303030303030305,31.303030303030305,20.073847661937826,20.073847661937826
E00026731,340,34.57941176470588,34.57941176470588,22.926897799763598,22.926897799763598
E00026732,281,27.669039145907472,27.669039145907472,12.879138813347033,12.879138813347033
E00026733,317,31.845425867507885,31.845425867507885,21.49473190297383,21.49473190297383
E00026734,478,26.851464435146443,26.851464435146443,14.935111499514345,14.935111499514345
E00026735,358,33.729050279329606,33.729050279329606,20.473164636762036,20.473164636762036
E00026736,345,33.484057971014494,33.484057971014494,19.596523356734696,19.596523356734696
E00026737,317,36.22712933753943,36.22712933753943,22.662468742792104,22.662468742792104
E00026738,469,24.67590618336887,24.67590618336887,10.42379117793013,10.42379117793013
E00026739,295,38.48135593220339,38.48135593220339,22.458854855501873,22.458854855501873
E00026740,317,31.315457413249213,31.315457413249213,18.279342135860848,18.279342135860848
E00026741,294,31.29591836734694,31.29591836734694,18.04859340496511,18.04859340496511
E00026742,338,33.01775147928994,33.01775147928994,21.32105112422724,21.32105112422724
E00026743,345,31.321739130434782,31.321739130434782,21.73461009625893,21.73461009625893
E00026744,251,39.25099601593625,39.25099601593625,25.284080940464975,25.284080940464975
E00026745,322,33.807453416149066,33.807453416149066,22.244748906895857,22.244748906895857
E00026746,319,34.03448275862069,34.03448275862069,18.33464438047992,18.33464438047992
E00026747,307,37.79153094462541,37.79153094462541,22.446643924327375,22.446643924327375
E00026748,492,26.25609756097561,26.25609756097561,14.071517338885972,14.071517338885972
E00026749,270,41.74814814814815,41.74814814814815,26.292667506124918,26.292667506124918
E00026750,510,28.87450980392157,28.87450980392157,20.93088864488414,20.93088864488414
E00026751,476,32.569327731092436,32.569327731092436,21.719392847231397,21.719392847231397
E00026752,310,32.616129032258065,32.616129032258065,17.548759566231286,17.548759566231286
E00026753,434,32.4815668202765,32.4815668202765,21.09717714414999,21.09717714414999
E00026754,480,31.925,31.925,20.922228991452414,20.922228991452414
E00026755,413,31.38256658595642,31.38256658595642,20.975456906245785,20.975456906245785
E00026756,481,26.484407484407484,26.484407484407484,16.050449958395035,16.050449958395035
E00026758,622,21.437299035369776,21.437299035369776,6.590269343504447,6.590269343504447
E00026759,316,28.25,28.25,16.75303810400626,16.75303810400626
E00026760,543,22.56169429097606,22.56169429097606,7.467479709556808,7.467479709556808
E00026761,183,30.12568306010929,30.12568306010929,11.900713176897316,11.900713176897316
E00026764,482,25.32572614107884,25.32572614107884,12.313461439891958,12.313461439891958
E00026765,543,31.174953959484345,31.174953959484345,21.196340080143056,21.196340080143056
E00026766,554,26.619133574007222,26.619133574007222,15.08952411863248,15.08952411863248
E00026767,412,36.10679611650485,36.10679611650485,21.23735066314708,21.23735066314708
E00026768,355,35.583098591549295,35.583098591549295,20.55351967821007,20.55351967821007
E00026769,367,29.814713896457764,29.814713896457764,19.640303753852812,19.640303753852812
E00026770,499,30.701402805611224,30.701402805611224,20.32341464338956,20.32341464338956
E00026771,301,34.55481727574751,34.55481727574751,21.829975226352577,21.829975226352577
E00026772,394,27.578680203045685,27.578680203045685,15.782882868409299,15.782882868409299
E00026773,329,33.50759878419453,33.50759878419453,18.00154388729866,18.00154388729866
E00026774,328,34.00914634146341,34.00914634146341,21.370831858280816,21.370831858280816
E00026775,455,27.054945054945055,27.054945054945055,15.724334123973234,15.724334123973234
E00026776,143,66.99300699300699,66.99300699300699,13.818489605554719,13.818489605554719
E00026777,235,35.87659574468085,35.87659574468085,20.1368630456381,20.1368630456381
E00026778,412,30.283980582524272,30.283980582524272,21.780690474525095,21.780690474525095
