OA,Pop_educ,Level4_educ,Mean_level4_edu
E00025795,248,24,0.0967741935483871
E00025796,278,33,0.11870503597122302
E00025797,235,34,0.14468085106382977
E00025798,247,25,0.10121457489878542
E00025799,299,27,0.0903010033444816
E00025800,281,34,0.12099644128113879
E00025801,258,23,0.08914728682170543
E00025802,213,25,0.11737089201877934
E00025803,218,42,0.1926605504587156
E00025804,176,16,0.09090909090909091
E00025805,158,4,0.02531645569620253
E00025806,220,35,0.1590909090909091
E00025807,264,35,0.13257575757575757
E00025808,224,30,0.13392857142857142
E00025809,249,29,0.11646586345381527
E00025810,204,14,0.06862745098039216
E00025811,227,41,0.18061674008810572
E00025812,199,29,0.1457286432160804
E00025813,265,39,0.1471698113207547
E00025814,264,35,0.13257575757575757
E00025815,205,22,0.1073170731707317
E00025816,247,43,0.17408906882591094
E00025817,259,40,0.15444015444015444
E00025818,242,39,0.16115702479338842
E00025819,293,38,0.1296928327645051
E00025820,256,28,0.109375
E00025821,210,36,0.17142857142857143
E00025822,228,34,0.14912280701754385
E00025823,250,33,0.132
E00025825,262,47,0.17938931297709923
E00025826,217,20,0.09216589861751152
E00025827,229,38,0.16593886462882096
E00025828,221,32,0.14479638009049775
E00025829,167,10,0.059880239520958084
E00025830,226,28,0.12389380530973451
E00025832,358,96,0.2681564245810056
E00025833,219,41,0.1872146118721461
E00025834,261,52,0.19923371647509577
E00025835,307,52,0.16938110749185667
E00025836,335,41,0.12238805970149254
E00025837,361,54,0.14958448753462603
E00025838,245,47,0.19183673469387755
E00025840,196,20,0.10204081632653061
E00025841,261,25,0.09578544061302682
E00025842,254,75,0.2952755905511811
E00025843,306,36,0.11764705882352941
E00025844,273,22,0.08058608058608059
E00025845,252,25,0.0992063492063492
E00025846,215,30,0.13953488372093023
E00025850,208,21,0.10096153846153846
E00025851,253,36,0.1422924901185771
E00025852,220,27,0.12272727272727273
E00025853,269,60,0.22304832713754646
E00025855,193,33,0.17098445595854922
E00025856,237,47,0.19831223628691982
E00025857,459,127,0.2766884531590414
E00025858,232,25,0.10775862068965517
E00025859,256,35,0.13671875
E00025862,242,91,0.3760330578512397
E00025863,169,66,0.3905325443786982
E00025864,221,34,0.15384615384615385
E00025865,263,62,0.23574144486692014
E00025866,212,23,0.10849056603773585
E00025867,197,35,0.17766497461928935
E00025868,215,31,0.14418604651162792
E00025869,287,80,0.2787456445993031
E00025870,214,36,0.16822429906542055
E00025871,201,22,0.10945273631840796
E00025872,150,11,0.07333333333333333
E00025873,264,116,0.4393939393939394
E00025875,259,87,0.3359073359073359
E00025876,218,69,0.3165137614678899
E00025877,233,28,0.12017167381974249
E00025878,191,24,0.1256544502617801
E00025879,254,94,0.3700787401574803
E00025880,231,30,0.12987012987012986
E00025882,220,22,0.1
E00025883,149,22,0.1476510067114094
E00025884,259,46,0.1776061776061776
E00025885,252,64,0.25396825396825395
E00025886,242,47,0.19421487603305784
E00025887,256,71,0.27734375
E00025888,246,32,0.13008130081300814
E00025889,231,29,0.12554112554112554
E00025890,208,24,0.11538461538461539
E00025891,277,63,0.22743682310469315
E00025892,173,16,0.09248554913294797
E00025893,180,29,0.16111111111111112
E00025894,205,16,0.07804878048780488
E00025895,260,44,0.16923076923076924
E00025896,316,65,0.20569620253164558
E00025897,233,46,0.19742489270386265
E00025898,210,26,0.12380952380952381
E00025899,249,69,0.27710843373493976
E00025900,237,43,0.18143459915611815
E00025901,243,43,0.17695473251028807
E00025902,257,72,0.2801556420233463
E00025903,189,37,0.19576719576719576
E00025904,274,42,0.15328467153284672
E00025905,280,73,0.26071428571428573
E00025906,231,35,0.15151515151515152
E00025907,262,55,0.2099236641221374
E00025908,330,111,0.33636363636363636
E00025909,282,35,0.12411347517730496
E00025910,203,36,0.17733990147783252
E00025911,253,50,0.1976284584980237
E00025912,230,37,0.1608695652173913
E00025913,267,41,0.15355805243445692
E00025914,288,44,0.1527777777777778
E00025915,241,48,0.1991701244813278
E00025916,240,34,0.14166666666666666
E00025917,256,56,0.21875
E00025918,234,32,0.13675213675213677
E00025919,244,43,0.1762295081967213
E00025920,233,52,0.22317596566523606
E00025921,243,47,0.1934156378600823
E00025922,239,55,0.2301255230125523
E00025923,312,102,0.3269230769230769
E00025924,284,36,0.1267605633802817
E00025925,432,198,0.4583333333333333
E00025926,286,151,0.527972027972028
E00025927,269,104,0.38661710037174724
E00025928,292,117,0.4006849315068493
E00025929,340,97,0.2852941176470588
E00025930,252,81,0.32142857142857145
E00025931,337,99,0.29376854599406527
E00025932,280,78,0.2785714285714286
E00025933,268,27,0.10074626865671642
E00025934,259,59,0.2277992277992278
E00025935,299,81,0.2709030100334448
E00025936,250,91,0.364
E00025937,322,79,0.2453416149068323
E00025938,253,45,0.17786561264822134
E00025939,235,47,0.2
E00025940,223,41,0.18385650224215247
E00025941,244,47,0.19262295081967212
E00025942,237,37,0.15611814345991562
E00025943,251,43,0.17131474103585656
E00025944,168,14,0.08333333333333333
E00025945,229,39,0.1703056768558952
E00025948,203,18,0.08866995073891626
E00025949,195,30,0.15384615384615385
E00025950,141,17,0.12056737588652482
E00025951,145,31,0.21379310344827587
E00025952,136,24,0.17647058823529413
E00025953,174,35,0.20114942528735633
E00025954,193,12,0.06217616580310881
E00025955,201,21,0.1044776119402985
E00025957,159,15,0.09433962264150944
E00025958,155,18,0.11612903225806452
E00025959,185,16,0.08648648648648649
E00025961,145,14,0.09655172413793103
E00025962,183,14,0.07650273224043716
E00025963,228,85,0.37280701754385964
E00025964,181,20,0.11049723756906077
E00025968,192,26,0.13541666666666666
E00025969,173,13,0.07514450867052024
E00025970,174,23,0.13218390804597702
E00025976,145,22,0.15172413793103448
E00025987,319,184,0.5768025078369906
E00025988,246,170,0.6910569105691057
E00025989,145,44,0.30344827586206896
E00025993,158,23,0.14556962025316456
E00025994,98,21,0.21428571428571427
E00025995,174,19,0.10919540229885058
E00025996,252,44,0.1746031746031746
E00025997,215,22,0.10232558139534884
E00025998,300,59,0.19666666666666666
E00026000,242,24,0.09917355371900827
E00026001,309,60,0.1941747572815534
E00026002,188,18,0.09574468085106383
E00026003,227,31,0.13656387665198239
E00026004,215,39,0.1813953488372093
E00026005,235,44,0.18723404255319148
E00026006,264,37,0.14015151515151514
E00026007,322,58,0.18012422360248448
E00026008,222,13,0.05855855855855856
E00026009,218,22,0.10091743119266056
E00026010,166,18,0.10843373493975904
E00026011,207,30,0.14492753623188406
E00026012,225,51,0.22666666666666666
E00026014,269,30,0.11152416356877323
E00026015,220,32,0.14545454545454545
E00026017,260,35,0.1346153846153846
E00026018,259,46,0.1776061776061776
E00026019,180,18,0.1
E00026020,252,26,0.10317460317460317
E00026021,178,23,0.12921348314606743
E00026022,277,66,0.23826714801444043
E00026023,180,16,0.08888888888888889
E00026024,218,17,0.0779816513761468
E00026025,230,20,0.08695652173913043
E00026026,182,20,0.10989010989010989
E00026027,357,83,0.23249299719887956
E00026028,264,25,0.0946969696969697
E00026030,254,35,0.13779527559055119
E00026031,256,28,0.109375
E00026032,247,39,0.15789473684210525
E00026033,233,30,0.12875536480686695
E00026034,269,53,0.1970260223048327
E00026035,299,69,0.23076923076923078
E00026036,350,52,0.14857142857142858
E00026038,341,66,0.1935483870967742
E00026039,275,50,0.18181818181818182
E00026040,247,43,0.17408906882591094
E00026041,200,20,0.1
E00026042,411,115,0.2798053527980535
E00026043,365,89,0.24383561643835616
E00026045,312,42,0.1346153846153846
E00026046,386,101,0.2616580310880829
E00026047,266,34,0.12781954887218044
E00026048,303,49,0.1617161716171617
E00026049,326,98,0.3006134969325153
E00026052,290,62,0.21379310344827587
E00026053,271,56,0.2066420664206642
E00026054,306,50,0.16339869281045752
E00026055,164,27,0.16463414634146342
E00026056,322,60,0.18633540372670807
E00026057,353,113,0.32011331444759206
E00026058,353,103,0.29178470254957506
E00026059,249,30,0.12048192771084337
E00026060,297,31,0.10437710437710437
E00026065,298,69,0.23154362416107382
E00026066,258,62,0.24031007751937986
E00026067,298,47,0.15771812080536912
E00026068,249,56,0.2248995983935743
E00026069,333,104,0.3123123123123123
E00026070,317,65,0.20504731861198738
E00026071,240,43,0.17916666666666667
E00026072,380,80,0.21052631578947367
E00026073,268,31,0.11567164179104478
E00026075,244,133,0.5450819672131147
E00026076,235,130,0.5531914893617021
E00026077,273,173,0.6336996336996337
E00026078,242,158,0.6528925619834711
E00026079,247,184,0.7449392712550608
E00026080,216,156,0.7222222222222222
E00026081,223,123,0.5515695067264574
E00026082,221,152,0.6877828054298643
E00026083,214,159,0.7429906542056075
E00026084,233,167,0.7167381974248928
E00026085,188,101,0.5372340425531915
E00026086,213,125,0.5868544600938967
E00026087,313,197,0.6293929712460063
E00026088,253,188,0.7430830039525692
E00026089,236,148,0.6271186440677966
E00026090,289,195,0.6747404844290658
E00026091,292,186,0.636986301369863
